SYMBOL_CODE,SYMBOL_NAME,MARKET_TYPE,ASSETS_TYPE,PUBLIC_DATE,INDUSTRY
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
080751　緯創元大38購15,TW24Z0807519,2024/02/23,上市,,RWSCCA
080752　緯創元大38購16,TW24Z0807527,2024/02/23,上市,,RWSCCA
080753　緯創元大38購17,TW24Z0807535,2024/02/23,上市,,RWSCCA
080754　辛耘元大39購01,TW24Z0807543,2024/02/23,上市,,RWSCCA
080755　瑞鼎元大38購02,TW24Z0807550,2024/02/23,上市,,RWSCCA
080756　上緯控元大39購01,TW24Z0807568,2024/02/23,上市,,RWSCCA
080757　定穎控元大38購04,TW24Z0807576,2024/02/23,上市,,RWSCCA
080758　定穎控元大38購05,TW24Z0807584,2024/02/23,上市,,RWSCCA
080759　定穎控元大38購06,TW24Z0807592,2024/02/23,上市,,RWSCCA
08075T　創意群益3A售21,TW24Z08075T3,2024/04/29,上市,,RWSCPE
080760　材料元大39購06,TW24Z0807600,2024/02/23,上市,,RWSCCA
080761　南寶元大38購03,TW24Z0807618,2024/02/23,上市,,RWSCCA
080762　虹堡元大38購01,TW24Z0807626,2024/02/23,上市,,RWSCCA
080763　豐藝元大38購04,TW24Z0807634,2024/02/23,上市,,RWSCCA
080764　豐藝元大38購05,TW24Z0807642,2024/02/23,上市,,RWSCCA
080765　豐藝元大38購06,TW24Z0807659,2024/02/23,上市,,RWSCCA
080766　聯茂元大38購02,TW24Z0807667,2024/02/23,上市,,RWSCCA
080767　聯茂元大38購03,TW24Z0807675,2024/02/23,上市,,RWSCCA
080768　愛普元大38購08,TW24Z0807683,2024/02/23,上市,,RWSCCA
080769　愛普元大38購09,TW24Z0807691,2024/02/23,上市,,RWSCCA
08076T　健策群益3A售06,TW24Z08076T1,2024/04/29,上市,,RWSCPE
080770　愛普元大38購10,TW24Z0807709,2024/02/23,上市,,RWSCCA
080771　晶心科元大39購03,TW24Z0807717,2024/02/23,上市,,RWSCCA
080772　嘉基元大38購01,TW24Z0807725,2024/02/23,上市,,RWSCCA
080773　華東元大38購02,TW24Z0807733,2024/02/23,上市,,RWSCCA
080774　華東元大38購03,TW24Z0807741,2024/02/23,上市,,RWSCCA
080775　臺股指元大3A購22,TW24Z0807758,2024/02/23,上市,,RWICCE
